,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
627,134.0,1.0,1.0,1.0,1.0,1.0,1.1090555467532206,3.5,2.25,1.25,0.0,0.03684210526315789,122.98531810766721
628,135.0,1.0,1.0,1.0,1.0,1.0,0.900887178731513,3.6,2.3,1.3,0.0,0.07105263157894737,125.92006525285481
629,136.0,1.0,1.0,1.0,1.0,1.0,1.0646154072868932,3.3,2.15,1.15,0.0,0.039473684210526314,124.9673735725938
630,137.0,1.0,1.0,1.0,1.0,1.0,1.1138108152676625,3.5,2.25,1.15,0.0,0.042105263157894736,125.79445350734095
631,138.0,1.0,1.0,1.0,1.0,1.0,1.0536536919724255,3.6,2.3,1.25,0.0,0.04342105263157895,126.97389885807505
632,139.0,1.0,1.0,1.0,1.0,1.0,1.07496116022347,3.2,2.1,1.1,0.0,0.0543859649122807,127.97553017944536
633,140.0,1.0,1.0,1.0,1.0,1.0,1.0136487914863652,3.6,2.3,1.3,-0.005263157894736842,0.060526315789473685,128.17618270799346
634,141.0,1.0,1.0,1.0,1.0,1.0,1.0675554441943327,3.6,2.3,1.3,0.0,0.035526315789473684,129.97389885807505
635,142.0,1.0,1.0,1.0,1.0,1.0,0.9741202587801168,3.9,2.45,1.45,0.0,0.02807017543859649,130.85318107667212
636,143.0,1.0,1.0,1.0,1.0,1.0,1.0589569211204855,3.7,2.35,1.3,0.0,0.06315789473684211,131.93964110929852
637,144.0,1.0,1.0,1.0,1.0,1.0,1.0514062215811515,3.5,2.25,1.25,0.0,0.04078947368421053,132.9690048939641
638,145.0,1.0,1.0,1.0,1.0,1.0,1.0954661274658382,3.2,2.1,1.1,0.0,0.05,133.68189233278957
639,146.0,1.0,1.0,1.0,1.0,1.0,1.041250728727633,3.3,2.15,1.15,0.0,0.04736842105263158,134.97063621533442
640,147.0,1.0,1.0,1.0,1.0,1.0,1.1096515922687236,3.5,2.25,1.25,0.0,0.03201754385964912,134.77324632952693
641,148.0,1.0,1.0,1.0,1.0,1.0,1.0369697548443617,3.6,2.3,1.3,0.0,0.04912280701754386,136.92659053833606
642,149.0,1.0,1.0,1.0,1.0,1.0,1.0625166945461746,3.4,2.2,1.2,-0.005263157894736842,0.04473684210526316,137.43230016313214
643,150.0,1.0,1.0,1.0,1.0,1.0,0.9498084681938322,3.3,2.15,1.15,0.0,0.042105263157894736,138.94453507340947
644,151.0,1.0,1.0,1.0,1.0,1.0,1.1323288109531349,3.0,2.0,1.0,0.0,0.03684210526315789,140.0
645,152.0,1.0,1.0,1.0,1.0,1.0,1.0290915238291873,3.2,2.1,1.1,0.005263157894736842,0.04912280701754385,140.97063621533442
646,153.0,1.0,1.0,1.0,1.0,1.0,1.0424205869742689,3.3,2.15,1.15,0.0,0.02894736842105263,141.9820554649266
647,154.0,1.0,1.0,1.0,1.0,1.0,1.0498956460013376,3.5,2.25,1.25,0.0,0.05263157894736842,142.48613376835237
648,155.0,1.0,1.0,1.0,1.0,1.0,1.0918347894951803,3.3,2.15,1.1,0.0,0.03333333333333333,143.9983686786297
649,156.0,1.0,1.0,1.0,1.0,1.0,0.9908456206610993,3.5,2.25,1.25,0.0,0.021491228070175436,144.952691680261
650,157.0,1.0,1.0,1.0,1.0,1.0,1.055040223921526,3.3,2.15,1.15,0.0,0.06578947368421052,145.41435562805873
651,158.0,1.0,1.0,1.0,1.0,1.0,1.0370053555744294,3.3,2.15,1.15,0.0,0.039473684210526314,146.99184339314846
652,159.0,1.0,1.0,1.0,1.0,1.0,1.0708047928655695,3.4,2.2,1.2,0.0,0.015789473684210527,147.53344208809136
653,160.0,1.0,1.0,1.0,1.0,1.0,1.029858446459593,3.5,2.25,1.25,0.0,0.042105263157894736,148.97879282218597
654,161.0,1.0,1.0,1.0,1.0,1.0,1.0597639100633343,3.5,2.25,1.25,0.0,0.031578947368421054,149.95758564437193
655,162.0,1.0,1.0,1.0,1.0,1.0,0.9876274463516469,3.7,2.35,1.3,-0.005263157894736842,0.03289473684210526,150.87438825448612
656,163.0,1.0,1.0,1.0,1.0,1.0,1.0646291687525409,3.5,2.25,1.25,0.0,0.06315789473684211,151.76019575856444
657,164.0,1.0,1.0,1.0,1.0,1.0,1.0723163335665276,3.4,2.2,1.15,0.0,0.05499999999999999,152.16150081566067
658,165.0,1.0,1.0,1.0,1.0,1.0,1.0690983553456348,3.1,2.05,1.05,0.0,0.06315789473684211,153.97879282218597
659,166.0,1.0,1.0,1.0,1.0,1.0,1.0730370998953294,3.2,2.1,1.1,0.0,0.04736842105263158,154.97553017944534
