explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
FACETBranchBound,20,20,6,0.8,0.8,0.9230769230769231,0.8571428571428571,11.6,6.3,3.0,0.475086690712607,0.5118518518518519,1.0,0.06835158806748093,1.45,0.06599831581115723,0.6310009956359863,-1.0,-1.0,54,104.2,346
FACETGrow,20,20,6,1.0,1.0,1.0,1.0,11.4,6.2,3.0,-0.11029594187488928,0.5033333333333333,1.0,0.33347102715280796,4.05,0.04800009727478027,0.02200007438659668,1.3,9.2,-1,-1,-1
OCEAN,20,20,6,1.0,1.0,1.0,1.0,11.4,6.2,3.0,-0.11029594187488928,0.5033333333333333,1.0,0.08619153044507556,1.95,0.0,0.397998571395874,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,1.0,1.0,1.0,1.0,11.4,6.2,3.0,-0.11029594187488928,0.5033333333333333,1.0,0.08656614949686489,1.6,3.0149993896484375,3.0969998836517334,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,1.0,1.0,1.0,1.0,11.4,6.2,3.0,-0.11029594187488928,0.5033333333333333,1.0,0.0783465920887598,1.6,0.06399893760681152,0.5219998359680176,-1.0,-1.0,59,97.65,170
FACETGrow,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.6,6.8,3.0,0.7218659301451205,0.484814814814815,1.0,0.3487275407601131,4.1,0.053999900817871094,0.025000333786010742,1.55,9.8,-1,-1,-1
OCEAN,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.6,6.8,3.0,0.7218659301451205,0.484814814814815,1.0,0.07661088492257992,2.0,0.0,0.6759982109069824,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.6,6.8,3.0,0.7218659301451205,0.484814814814815,1.0,0.08084080580211395,1.6,3.0719995498657227,4.026000022888184,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.6,6.8,3.0,0.7218659301451205,0.484814814814815,1.0,0.07382582861702283,1.65,0.07299375534057617,0.819000244140625,-1.0,-1.0,83,126.15,231
FACETGrow,20,20,6,0.6,0.875,0.5,0.6363636363636364,12.2,6.6,3.0,0.5327700349736049,0.4840740740740741,1.0,0.33771105631238013,4.05,0.05499982833862305,0.024000167846679688,1.85,9.35,-1,-1,-1
OCEAN,20,20,6,0.6,0.875,0.5,0.6363636363636364,12.2,6.6,3.0,0.5327700349736049,0.4840740740740741,1.0,0.04659626525869557,1.45,0.0,0.44699978828430176,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.6,0.875,0.5,0.6363636363636364,12.2,6.6,3.0,0.5327700349736049,0.4840740740740741,1.0,0.05850423223944734,1.55,3.2659988403320312,4.6499998569488525,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.6,0.875,0.5,0.6363636363636364,12.2,6.6,3.0,0.5327700349736049,0.4840740740740741,1.0,0.05154865154897335,1.45,0.07199931144714355,1.0640006065368652,-1.0,-1.0,87,161.3,255
