,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance
211,14.0,1.0,1.0,1.0,1.0,0.04567699836867867,0.4182002737483725
212,15.0,1.0,1.0,1.0,1.0,0.0,
213,16.0,1.0,1.0,1.0,1.0,0.0,
214,17.0,1.0,1.0,1.0,1.0,0.9755301794453507,0.37069336073642867
215,18.0,1.0,1.0,1.0,1.0,0.0,
216,19.0,1.0,1.0,1.0,1.0,0.0,
217,20.0,1.0,1.0,1.0,1.0,0.0,
218,21.0,1.0,1.0,1.0,1.0,0.0,
219,22.0,1.0,1.0,1.0,1.0,0.0,
220,23.0,1.0,1.0,1.0,1.0,0.0,
221,24.0,1.0,1.0,1.0,1.0,0.0,
222,25.0,1.0,1.0,1.0,1.0,0.0,
223,26.0,1.0,1.0,1.0,1.0,0.0,
224,27.0,1.0,1.0,1.0,1.0,0.0,
225,28.0,1.0,1.0,1.0,1.0,0.0,
226,29.0,1.0,1.0,1.0,1.0,0.0,
227,30.0,1.0,1.0,1.0,1.0,0.0,
228,31.0,1.0,1.0,1.0,1.0,0.0,
229,32.0,1.0,1.0,1.0,1.0,0.0,
230,33.0,1.0,1.0,1.0,1.0,0.0,
231,34.0,1.0,1.0,1.0,1.0,0.0,
232,35.0,1.0,1.0,1.0,1.0,0.0,
233,36.0,1.0,1.0,1.0,1.0,0.0,
234,37.0,1.0,1.0,1.0,1.0,0.0,
235,38.0,1.0,1.0,1.0,1.0,0.0,
236,39.0,1.0,1.0,1.0,1.0,0.0,
237,40.0,1.0,1.0,1.0,1.0,0.0,
238,41.0,1.0,1.0,1.0,1.0,0.0,
239,42.0,1.0,1.0,1.0,1.0,0.0,
240,43.0,1.0,1.0,1.0,1.0,0.0,
241,44.0,1.0,1.0,1.0,1.0,0.0,
242,45.0,1.0,1.0,1.0,1.0,0.0,
243,46.0,1.0,1.0,1.0,1.0,0.0,
244,47.0,1.0,1.0,1.0,1.0,0.0,
245,48.0,1.0,1.0,1.0,1.0,0.0,
246,49.0,1.0,1.0,1.0,1.0,0.0,
