,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
45,7.0,0.9754768392370572,0.9817629179331308,0.99079754601227,0.9862595419847328,1.0,0.1320786087072595,76.2,38.6,11.6,0.9355713345175151,0.9443609022556392
46,8.0,0.9754768392370572,0.9795918367346939,0.9940828402366864,0.9867841409691629,1.0,0.11902587487827085,88.7,44.85,12.85,0.9268374782441987,0.9539473684210527
47,9.0,0.9700272479564033,0.9792284866468842,0.9880239520958084,0.9836065573770492,1.0,0.12327306950067456,67.4,34.2,12.35,0.9175343603172268,0.9180555555555555
48,10.0,0.9836512261580381,0.9939577039274925,0.987987987987988,0.9909638554216867,1.0,0.1283635239683389,68.3,34.65,12.7,0.8562334933391048,0.8494736842105262
49,11.0,0.989100817438692,0.9941176470588236,0.9941176470588236,0.9941176470588236,1.0,0.15286554321610596,72.4,36.7,11.7,0.812949148603939,0.8591281233386496
50,12.0,0.9809264305177112,0.9793510324483776,1.0,0.9895678092399404,1.0,0.11720287307690486,72.6,36.8,12.65,0.8504923677169858,0.8760925039872407
51,13.0,0.9754768392370572,0.9853372434017595,0.9882352941176471,0.986784140969163,1.0,0.12215495208615892,62.6,31.8,11.75,0.9056409592510246,0.8215372346951294
52,14.0,0.9863760217983651,0.9881656804733728,0.9970149253731343,0.9925705794947994,1.0,0.15244068652081919,63.0,32.0,12.2,0.8245238124725993,0.8135907075380759
53,15.0,0.9863760217983651,0.9911504424778761,0.9940828402366864,0.9926144756277695,1.0,0.14382428325935837,54.3,27.65,10.45,0.9578613084563589,0.7572057766794609
54,16.0,0.9809264305177112,0.9880239520958084,0.990990990990991,0.9895052473763118,1.0,0.1482223186038574,48.0,24.5,9.75,0.8614846958730537,0.7190557468846941
55,17.0,0.9700272479564033,0.9848942598187311,0.9819277108433735,0.9834087481146305,1.0,0.17646034115804743,38.8,19.9,9.35,0.9017377265419992,0.6289354286064812
56,18.0,0.9863760217983651,0.9880952380952381,0.996996996996997,0.992526158445441,1.0,0.16941232818512306,47.2,24.1,10.35,0.8263435293849659,0.680548737038675
57,19.0,0.9809264305177112,0.9850299401197605,0.9939577039274925,0.9894736842105264,1.0,0.18295390948743975,44.6,22.8,9.0,0.8499453053145191,0.5879359874143564
58,20.0,0.9863760217983651,0.9940828402366864,0.9911504424778761,0.9926144756277695,1.0,0.06111120723316768,45.2,23.1,9.95,0.8536566857027776,0.5501582573863412
59,21.0,0.9836512261580381,0.985207100591716,0.9970059880239521,0.9910714285714286,1.0,0.16919635638921934,44.2,22.6,9.05,0.8596075511621408,0.5238922462940714
60,2.0,0.9427792915531336,0.9585798816568047,0.9788519637462235,0.968609865470852,1.0,0.04956474453115781,138.2,69.6,16.55,0.9595825946065988,1.0
61,3.0,0.9455040871934605,0.9728915662650602,0.9670658682634731,0.96996996996997,1.0,0.05324967675396761,119.7,60.35,13.85,0.9347876492901469,1.0
62,4.0,0.9564032697547684,0.9651162790697675,0.9880952380952381,0.9764705882352942,1.0,0.05058456585460529,82.4,41.7,11.9,0.979184092911985,1.0
63,5.0,0.9782016348773842,0.9880239520958084,0.9880239520958084,0.9880239520958084,1.0,0.043608274134606134,89.2,45.1,12.45,0.9391186815822853,0.98
64,6.0,0.9618528610354223,0.9678362573099415,0.9910179640718563,0.9792899408284023,1.0,0.06123169768564651,88.8,44.9,12.8,0.958223423456472,0.9552631578947368
65,7.0,0.9727520435967303,0.9739130434782609,0.9970326409495549,0.9853372434017595,1.0,0.15508837105203568,80.5,40.75,13.3,0.9677260570655781,0.9518796992481203
66,8.0,0.9645776566757494,0.972972972972973,0.9878048780487805,0.9803328290468987,1.0,0.16511175260600075,76.2,38.6,12.25,0.9304553120334977,0.943984962406015
67,9.0,0.9809264305177112,0.9853372434017595,0.9940828402366864,0.9896907216494845,1.0,0.1597454411422513,76.9,38.95,11.95,0.927202055757808,0.9764619883040936
68,10.0,0.9809264305177112,0.985207100591716,0.9940298507462687,0.9895988112927193,1.0,0.17233776457547018,67.0,34.0,10.95,0.889186273425285,0.9677631578947369
69,11.0,0.9836512261580381,0.9826589595375722,1.0,0.9912536443148687,1.0,0.14215697822714163,55.6,28.3,10.3,0.8931958523655962,0.8738968633705476
70,12.0,0.9809264305177112,0.9850746268656716,0.9939759036144579,0.9895052473763117,1.0,0.09230562488731979,61.4,31.2,10.1,0.8732645687528908,0.8852791068580541
71,13.0,0.9727520435967303,0.9756838905775076,0.9938080495356038,0.9846625766871165,1.0,0.07454622374350131,64.2,32.6,10.6,0.875185670714656,0.8997300944669366
72,14.0,0.989100817438692,0.9911242603550295,0.9970238095238095,0.9940652818991098,1.0,0.146964191779109,53.5,27.25,10.55,0.8598692464755024,0.7754637467795362
73,15.0,0.9863760217983651,0.9912280701754386,0.9941348973607038,0.992679355783309,1.0,0.10366503701484328,57.3,29.15,10.0,0.8002141563823725,0.8023134759976867
74,16.0,0.989100817438692,0.991044776119403,0.996996996996997,0.9940119760479041,1.0,0.16116059925220094,46.3,23.65,8.9,0.892548604391828,0.7086504723346829
75,17.0,0.9727520435967303,0.982089552238806,0.987987987987988,0.9850299401197605,1.0,0.13691591507246872,43.7,22.35,9.1,0.9234656206027988,0.6363181284659613
76,18.0,0.9863760217983651,0.9940476190476191,0.9910979228486647,0.9925705794947994,1.0,0.21409748129758602,42.7,21.85,9.3,0.8576703487102464,0.5963302989580079
77,19.0,0.9782016348773842,0.9819277108433735,0.9939024390243902,0.9878787878787879,1.0,0.17152736309884897,43.4,22.2,9.05,0.8979798474784738,0.5734071134313516
78,20.0,0.9836512261580381,0.987987987987988,0.9939577039274925,0.9909638554216867,1.0,0.12945485601568532,41.2,21.1,8.4,0.904962072555344,0.5282519128663418
79,21.0,0.9809264305177112,0.9882005899705014,0.9911242603550295,0.9896602658788773,1.0,0.11276340602480368,42.4,21.7,9.3,0.8963830466047485,0.5195732203315305
80,2.0,0.9237057220708447,0.9237057220708447,1.0,0.9603399433427762,1.0,0.14094409739902963,72.9,36.95,10.4,0.9983570088288051,1.0
81,3.0,0.9182561307901907,0.9182561307901907,1.0,0.9573863636363636,1.0,0.03610038791881186,217.5,109.25,16.25,0.906272563419391,1.0
82,4.0,0.9291553133514986,0.963855421686747,0.9580838323353293,0.9609609609609611,1.0,0.06952910688326759,190.2,95.6,17.25,0.8591383989742446,1.0
83,5.0,0.9400544959128065,0.9594202898550724,0.976401179941003,0.9678362573099415,1.0,0.10268284826210601,164.4,82.7,16.35,0.9096420592844716,0.9621052631578948
84,6.0,0.9700272479564033,0.9794721407624634,0.9881656804733728,0.98379970544919,1.0,0.08539410426440805,115.3,58.15,15.5,0.9400982572426532,0.9122807017543859
85,7.0,0.9618528610354223,0.9762611275964391,0.982089552238806,0.9791666666666665,1.0,0.09162790045894197,108.5,54.75,13.6,0.9172321419891348,0.9278195488721804
86,8.0,0.9754768392370572,0.9851632047477745,0.9880952380952381,0.986627043090639,1.0,0.10906030863165747,80.8,40.9,12.15,0.9243698060803135,0.9348684210526316
87,9.0,0.9754768392370572,0.9785276073619632,0.9937694704049844,0.9860896445131375,1.0,0.10529374094467867,59.9,30.45,10.3,0.931749201671144,0.9355994152046785
88,10.0,0.9863760217983651,0.9878419452887538,0.9969325153374233,0.9923664122137404,1.0,0.12751759838992732,62.1,31.55,9.9,0.8700642118837737,0.8977777777777781
89,11.0,0.9863760217983651,0.9880597014925373,0.9969879518072289,0.9925037481259371,1.0,0.0998955764827485,62.6,31.8,10.5,0.8342093862355727,0.9108133971291866
90,12.0,0.9918256130790191,0.9940476190476191,0.9970149253731343,0.9955290611028316,1.0,0.11891858979862233,65.4,33.2,10.4,0.8384762903317938,0.8941786283891546
91,13.0,0.9809264305177112,0.9819819819819819,0.9969512195121951,0.9894099848714071,1.0,0.1546142727082206,58.8,29.9,10.2,0.8866138210539789,0.8432002208317999
92,14.0,0.9700272479564033,0.972809667673716,0.9938271604938271,0.9832061068702289,1.0,0.16203782905022593,54.5,27.75,9.95,0.8648608830374284,0.765587044534413
93,15.0,0.9836512261580381,0.9849397590361446,0.9969512195121951,0.9909090909090911,1.0,0.07397613786575873,51.1,26.05,10.15,0.856146349682549,0.7718494663231507
94,16.0,0.9945504087193461,0.9970501474926253,0.9970501474926253,0.9970501474926253,1.0,0.1528181041042664,52.7,26.85,10.65,0.7033270818131413,0.7466358203200307
95,17.0,0.9782016348773842,0.9817073170731707,0.9938271604938271,0.9877300613496932,1.0,0.1028756896079639,51.2,26.1,10.4,0.8849964355758642,0.6779524319849398
96,18.0,0.9918256130790191,0.9940119760479041,0.996996996996997,0.9955022488755623,1.0,0.131518271865639,59.5,30.25,10.75,0.8431897324573667,0.7703822055137843
97,19.0,0.989100817438692,0.9909365558912386,0.9969604863221885,0.9939393939393939,1.0,0.09601976550702956,58.8,29.9,10.05,0.8206628866628168,0.6807126231769788
98,20.0,0.9863760217983651,0.984984984984985,1.0,0.9924357034795764,1.0,0.2142026023176861,43.5,22.25,8.7,0.8419617517541036,0.582574453817325
99,21.0,0.9918256130790191,0.9969879518072289,0.993993993993994,0.9954887218045113,1.0,0.10069078616575554,45.6,23.3,9.15,0.7251312660814564,0.5616624589675348
