,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
50,23.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.2650218446558118,13.0,7.0,4.1,0.018846087795086355,0.1474800491905755
51,24.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.3532911146527621,11.3,6.15,4.35,0.735754022396113,0.13014657856763118
52,25.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.3235613020987668,10.0,5.5,3.65,-0.1399759844038388,0.1332268170426065
53,26.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.35980472000719166,10.8,5.9,4.05,0.7369395881395034,0.1351686617476091
54,27.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.5919427577584957,9.8,5.4,3.45,0.14552607791465372,0.11443893825472772
55,28.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.25015983739784153,10.9,5.95,3.8,0.9120167032253196,0.12262968026125919
56,29.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,1.0,0.43039947832958986,9.2,5.1,3.4,0.5518267806196405,0.12507120072909547
57,30.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.3726726996699294,11.3,6.15,3.75,0.3372785071693411,0.14234030589293745
58,2.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.11319102167813594,17.7,9.35,5.7,0.989283118188115,1.0
59,3.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,1.0,0.07594960354336233,23.9,12.45,7.0,0.9455610412717212,0.9666666666666666
60,4.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.06596716374552686,18.1,9.55,5.7,0.9491303019551603,0.7776315789473685
61,5.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.055733640215923946,19.0,10.0,6.1,0.4699205877453212,0.6956140350877192
62,6.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.1408519790280085,15.0,8.0,5.0,0.9785986079153988,0.5410526315789472
63,7.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.14533339673276946,22.7,11.85,6.5,0.7827451141007343,0.620877192982456
64,8.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.23769024865261687,17.3,9.15,5.0,0.9736950613153607,0.42533208020050123
65,9.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.1853296973347117,13.4,7.2,4.4,0.9233998744968684,0.3497639933166249
66,10.0,0.881578947368421,0.881578947368421,1.0,0.9370629370629371,1.0,0.21281746645784777,13.1,7.05,4.4,0.7937202492135049,0.3680680868838763
