,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
117,119.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.5
118,120.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.3
119,121.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3
120,122.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4
121,123.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.6
122,124.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
123,125.0,1.0,1.0,1.0,1.0,0.0,,4.5,2.75,1.65
124,126.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35
125,127.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
126,128.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45
127,129.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
128,130.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
129,131.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
130,132.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
131,133.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
132,134.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
133,135.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
134,136.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3
135,137.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.4
136,138.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
137,139.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35
138,140.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
139,141.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
140,142.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.5
141,143.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4
142,144.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
143,145.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
144,146.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
145,147.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
146,148.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.35
147,149.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6
148,150.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
149,151.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
150,152.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
151,153.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
152,154.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45
153,155.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3
154,156.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
155,157.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
156,158.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35
157,159.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4
158,160.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
159,161.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
160,162.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.45
161,163.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.55
162,164.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.2
163,165.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
164,166.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.15
165,2.0,0.9951060358890701,0.995,1.0,0.9974937343358395,1.0,0.23207930641216712,31.6,16.3,8.55
166,3.0,1.0,1.0,1.0,1.0,1.0,0.21410627542026317,14.8,7.9,5.5
167,4.0,1.0,1.0,1.0,1.0,1.0,0.3283825831932811,10.8,5.9,4.6
168,5.0,1.0,1.0,1.0,1.0,1.0,0.19010392572422888,5.2,3.1,2.05
169,6.0,1.0,1.0,1.0,1.0,0.9738988580750407,0.31299139557829025,4.4,2.7,1.65
170,7.0,1.0,1.0,1.0,1.0,0.009787928221859699,0.2978720518535794,5.1,3.05,2.0
171,8.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.3353621477041846,6.3,3.65,2.45
172,9.0,1.0,1.0,1.0,1.0,0.9967373572593801,0.44503015767354304,4.7,2.85,1.85
173,10.0,1.0,1.0,1.0,1.0,1.0,0.37681816425931636,4.2,2.6,1.55
174,11.0,1.0,1.0,1.0,1.0,0.9787928221859706,0.39968725853153253,5.0,3.0,1.8
175,12.0,1.0,1.0,1.0,1.0,0.9869494290375204,0.37417211582429594,6.4,3.7,2.4
176,13.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.65
177,14.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.5
178,15.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.29215535347106114,5.2,3.1,2.05
179,16.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.5
180,17.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.95
