,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
36,18.0,0.9918256130790191,1.0,0.9907692307692307,0.9953632148377125,1.0,0.25931329443197326,51.7,26.35,10.05
37,19.0,0.9863760217983651,0.9939759036144579,0.990990990990991,0.9924812030075187,1.0,0.25103839328018146,47.3,24.15,9.1
38,20.0,0.9863760217983651,0.9910714285714286,0.9940298507462687,0.9925484351713861,1.0,0.33453787014364794,46.2,23.6,9.1
39,21.0,0.9945504087193461,0.9941002949852508,1.0,0.9970414201183432,0.7656675749318801,0.4141152273700107,46.0,23.5,9.4
40,2.0,0.9291553133514986,0.9525222551928784,0.9697885196374623,0.9610778443113772,1.0,0.0993412141879727,138.9,69.95,13.75
41,3.0,0.9237057220708447,0.9273255813953488,0.9906832298136646,0.957957957957958,1.0,0.1429366366413699,113.8,57.4,13.2
42,4.0,0.9754768392370572,0.9880597014925373,0.9851190476190477,0.9865871833084948,1.0,0.20447988351971058,81.6,41.3,11.35
43,5.0,0.9645776566757494,0.9649122807017544,0.9969788519637462,0.9806835066864785,1.0,0.235513879023121,88.1,44.55,11.6
44,6.0,0.9591280653950953,0.9723076923076923,0.9813664596273292,0.9768160741885626,1.0,0.23863770845978446,76.8,38.9,10.7
45,7.0,0.9782016348773842,0.9817629179331308,0.9938461538461538,0.9877675840978593,1.0,0.30037924454398246,83.5,42.25,11.05
46,8.0,0.9782016348773842,0.991044776119403,0.9851632047477745,0.9880952380952381,1.0,0.21688923861138354,59.6,30.3,10.65
47,9.0,0.9754768392370572,0.9850746268656716,0.9880239520958084,0.9865470852017937,1.0,0.21888569953071252,52.4,26.7,9.7
48,10.0,0.9863760217983651,0.9940652818991098,0.9911242603550295,0.9925925925925925,1.0,0.23131115739823216,54.2,27.6,9.95
49,11.0,0.9836512261580381,0.9909365558912386,0.9909365558912386,0.9909365558912386,1.0,0.2319537879776634,50.3,25.65,9.45
50,12.0,0.989100817438692,0.9969604863221885,0.9909365558912386,0.9939393939393939,1.0,0.24057827096400636,55.7,28.35,9.85
51,13.0,0.9673024523160763,0.9818181818181818,0.9818181818181818,0.9818181818181818,1.0,0.23025118270257025,46.1,23.55,9.3
52,14.0,0.989100817438692,0.9908536585365854,0.9969325153374233,0.9938837920489296,1.0,0.24460168749546302,44.9,22.95,9.15
53,15.0,0.9645776566757494,0.9880597014925373,0.9735294117647059,0.9807407407407408,1.0,0.2415145275707837,52.4,26.7,10.65
54,16.0,0.9700272479564033,0.9878419452887538,0.9789156626506024,0.9833585476550681,1.0,0.23564754396776005,46.2,23.6,10.25
55,17.0,0.9809264305177112,0.9851632047477745,0.9940119760479041,0.9895678092399404,1.0,0.2694280617583943,48.6,24.8,9.9
56,18.0,0.9782016348773842,0.9910179640718563,0.9851190476190477,0.9880597014925373,1.0,0.22685386928063903,48.7,24.85,10.0
57,19.0,0.9836512261580381,0.9907120743034056,0.9907120743034056,0.9907120743034056,0.997275204359673,0.24750974851177984,50.1,25.55,10.15
58,20.0,0.9863760217983651,0.99079754601227,0.9938461538461538,0.9923195084485407,0.9836512261580381,0.29031342204780874,45.3,23.15,9.25
59,21.0,0.9945504087193461,0.9970326409495549,0.9970326409495549,0.9970326409495549,0.5994550408719346,0.507739596702458,45.6,23.3,9.4
60,2.0,0.896457765667575,0.896457765667575,1.0,0.9454022988505747,0.0,,36.9,18.95,10.45
61,3.0,0.9346049046321526,0.9565217391304348,0.9734513274336283,0.9649122807017544,1.0,0.15801709142947495,93.9,47.45,14.4
62,4.0,0.9482288828337875,0.95,0.9938461538461538,0.9714285714285714,1.0,0.17084592245067615,91.9,46.45,12.75
63,5.0,0.9373297002724795,0.9573170731707317,0.9721362229102167,0.9646697388632873,1.0,0.18622440682890606,66.9,33.95,12.0
64,6.0,0.9782016348773842,0.9793510324483776,0.996996996996997,0.988095238095238,1.0,0.1611342747448866,75.3,38.15,10.8
65,7.0,0.9809264305177112,0.9884057971014493,0.9912790697674418,0.9898403483309144,1.0,0.1870194525865243,78.6,39.8,12.2
66,8.0,0.9727520435967303,0.9878787878787879,0.9819277108433735,0.9848942598187311,1.0,0.2750744425755686,48.5,24.75,10.0
67,9.0,0.9809264305177112,0.987987987987988,0.9909638554216867,0.9894736842105263,1.0,0.25592145568154756,55.9,28.45,9.95
68,10.0,0.9945504087193461,0.9970588235294118,0.9970588235294118,0.9970588235294118,1.0,0.26384938376530187,49.9,25.45,9.45
69,11.0,0.9836512261580381,0.9939024390243902,0.9878787878787879,0.9908814589665653,1.0,0.2769414730708036,45.2,23.1,9.25
70,12.0,0.9754768392370572,0.9791044776119403,0.9939393939393939,0.9864661654135337,0.9945504087193461,0.3577474922132633,49.5,25.25,9.55
71,13.0,0.9809264305177112,0.9877300613496932,0.9907692307692307,0.989247311827957,1.0,0.38823035291467706,52.8,26.9,9.7
72,14.0,0.9782016348773842,0.9849397590361446,0.990909090909091,0.987915407854985,1.0,0.2707393132043174,48.7,24.85,9.3
73,15.0,0.9863760217983651,0.9911504424778761,0.9940828402366864,0.9926144756277695,1.0,0.3541670911756966,54.0,27.5,9.95
74,16.0,0.9863760217983651,0.9907692307692307,0.9938271604938271,0.9922958397534669,1.0,0.30387385976682074,45.2,23.1,9.3
75,17.0,0.9782016348773842,0.9818731117824774,0.9938837920489296,0.9878419452887538,0.9809264305177112,0.36368531284204647,45.9,23.45,8.85
76,18.0,0.9863760217983651,0.9969325153374233,0.9878419452887538,0.9923664122137404,1.0,0.3413760731842974,48.9,24.95,10.45
77,19.0,0.9727520435967303,0.9850299401197605,0.9850299401197605,0.9850299401197605,1.0,0.23020648461396886,46.3,23.65,9.7
