,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
157,159.0,1.0,1.0,1.0,1.0,0.0,
158,160.0,1.0,1.0,1.0,1.0,0.0,
159,161.0,1.0,1.0,1.0,1.0,0.0,
160,162.0,1.0,1.0,1.0,1.0,0.0,
161,163.0,1.0,1.0,1.0,1.0,0.0,
162,164.0,1.0,1.0,1.0,1.0,0.0,
163,165.0,1.0,1.0,1.0,1.0,0.0,
164,2.0,0.9967373572593801,1.0,0.9966555183946488,0.998324958123953,1.0,0.27345980073814596
165,3.0,1.0,1.0,1.0,1.0,1.0,0.2523432333906593
166,4.0,0.9967373572593801,1.0,0.9966555183946488,0.998324958123953,1.0,0.24200304294248645
167,5.0,1.0,1.0,1.0,1.0,1.0,0.3701830354121314
168,6.0,1.0,1.0,1.0,1.0,1.0,0.3104761858583013
169,7.0,1.0,1.0,1.0,1.0,1.0,0.24596631575048025
170,8.0,1.0,1.0,1.0,1.0,0.6264274061990212,0.42386336163648797
171,9.0,1.0,1.0,1.0,1.0,0.4241435562805873,0.33804060185793317
172,10.0,1.0,1.0,1.0,1.0,1.0,0.24353362614056254
173,11.0,1.0,1.0,1.0,1.0,0.0,
174,12.0,1.0,1.0,1.0,1.0,0.0,
175,13.0,1.0,1.0,1.0,1.0,0.009787928221859699,0.6298722796787565
176,14.0,1.0,1.0,1.0,1.0,0.00815660685154973,0.678024375820935
177,15.0,1.0,1.0,1.0,1.0,0.9787928221859706,0.5112900598084108
178,16.0,1.0,1.0,1.0,1.0,0.6574225122349102,0.35221560100947746
179,17.0,1.0,1.0,1.0,1.0,0.9722675367047309,0.36189128646073837
180,18.0,1.0,1.0,1.0,1.0,0.02610114192495927,0.4040286294996316
181,19.0,1.0,1.0,1.0,1.0,0.004893964110929905,0.38929632404344056
182,20.0,1.0,1.0,1.0,1.0,0.037520391517128826,0.5437946834238417
183,21.0,1.0,1.0,1.0,1.0,0.5154975530179445,0.31967203298704117
184,22.0,1.0,1.0,1.0,1.0,0.0,
185,23.0,1.0,1.0,1.0,1.0,0.10440456769983686,0.40623445807967107
186,24.0,1.0,1.0,1.0,1.0,0.9575856443719413,0.35255143588858856
187,25.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.19142157716055708
188,26.0,1.0,1.0,1.0,1.0,0.2479608482871125,0.4482983259420483
189,27.0,1.0,1.0,1.0,1.0,0.0,
190,28.0,1.0,1.0,1.0,1.0,0.0,
191,29.0,1.0,1.0,1.0,1.0,0.0,
192,30.0,1.0,1.0,1.0,1.0,0.0,
193,31.0,1.0,1.0,1.0,1.0,0.0,
194,32.0,1.0,1.0,1.0,1.0,0.0,
195,33.0,1.0,1.0,1.0,1.0,0.0,
196,34.0,1.0,1.0,1.0,1.0,0.0,
197,35.0,1.0,1.0,1.0,1.0,0.0,
198,36.0,1.0,1.0,1.0,1.0,0.0,
199,37.0,1.0,1.0,1.0,1.0,0.0,
200,38.0,1.0,1.0,1.0,1.0,0.0,
201,39.0,1.0,1.0,1.0,1.0,0.0,
202,40.0,1.0,1.0,1.0,1.0,0.0,
203,41.0,1.0,1.0,1.0,1.0,0.0,
204,42.0,1.0,1.0,1.0,1.0,0.0,
205,43.0,1.0,1.0,1.0,1.0,0.0,
206,44.0,1.0,1.0,1.0,1.0,0.0,
207,45.0,1.0,1.0,1.0,1.0,0.0,
208,46.0,1.0,1.0,1.0,1.0,0.0,
209,47.0,1.0,1.0,1.0,1.0,0.0,
210,48.0,1.0,1.0,1.0,1.0,0.0,
211,49.0,1.0,1.0,1.0,1.0,0.0,
212,50.0,1.0,1.0,1.0,1.0,0.0,
213,51.0,1.0,1.0,1.0,1.0,0.0,
214,52.0,1.0,1.0,1.0,1.0,0.0,
215,53.0,1.0,1.0,1.0,1.0,0.0,
216,54.0,1.0,1.0,1.0,1.0,0.0,
217,55.0,1.0,1.0,1.0,1.0,0.0,
218,56.0,1.0,1.0,1.0,1.0,0.0,
219,57.0,1.0,1.0,1.0,1.0,0.0,
220,58.0,1.0,1.0,1.0,1.0,0.0,
221,59.0,1.0,1.0,1.0,1.0,0.0,
222,60.0,1.0,1.0,1.0,1.0,0.0,
223,61.0,1.0,1.0,1.0,1.0,0.0,
224,62.0,1.0,1.0,1.0,1.0,0.0,
225,63.0,1.0,1.0,1.0,1.0,0.0,
226,64.0,1.0,1.0,1.0,1.0,0.0,
227,65.0,1.0,1.0,1.0,1.0,0.0,
228,66.0,1.0,1.0,1.0,1.0,0.0,
229,67.0,1.0,1.0,1.0,1.0,0.0,
230,68.0,1.0,1.0,1.0,1.0,0.0,
231,69.0,1.0,1.0,1.0,1.0,0.0,
232,70.0,1.0,1.0,1.0,1.0,0.0,
233,71.0,1.0,1.0,1.0,1.0,0.0,
234,72.0,1.0,1.0,1.0,1.0,0.0,
235,73.0,1.0,1.0,1.0,1.0,0.0,
236,74.0,1.0,1.0,1.0,1.0,0.0,
237,75.0,1.0,1.0,1.0,1.0,0.0,
238,76.0,1.0,1.0,1.0,1.0,0.0,
239,77.0,1.0,1.0,1.0,1.0,0.0,
240,78.0,1.0,1.0,1.0,1.0,0.0,
241,79.0,1.0,1.0,1.0,1.0,0.0,
242,80.0,1.0,1.0,1.0,1.0,0.0,
243,81.0,1.0,1.0,1.0,1.0,0.0,
244,82.0,1.0,1.0,1.0,1.0,0.0,
245,83.0,1.0,1.0,1.0,1.0,0.0,
246,84.0,1.0,1.0,1.0,1.0,0.0,
247,85.0,1.0,1.0,1.0,1.0,0.0,
248,86.0,1.0,1.0,1.0,1.0,0.0,
249,87.0,1.0,1.0,1.0,1.0,0.0,
250,88.0,1.0,1.0,1.0,1.0,0.0,
251,89.0,1.0,1.0,1.0,1.0,0.0,
252,90.0,1.0,1.0,1.0,1.0,0.0,
253,91.0,1.0,1.0,1.0,1.0,0.0,
254,92.0,1.0,1.0,1.0,1.0,0.0,
255,93.0,1.0,1.0,1.0,1.0,0.0,
256,94.0,1.0,1.0,1.0,1.0,0.0,
257,95.0,1.0,1.0,1.0,1.0,0.0,
258,96.0,1.0,1.0,1.0,1.0,0.0,
259,97.0,1.0,1.0,1.0,1.0,0.0,
260,98.0,1.0,1.0,1.0,1.0,0.0,
261,99.0,1.0,1.0,1.0,1.0,0.0,
262,100.0,1.0,1.0,1.0,1.0,0.0,
263,101.0,1.0,1.0,1.0,1.0,0.0,
264,102.0,1.0,1.0,1.0,1.0,0.0,
265,103.0,1.0,1.0,1.0,1.0,0.0,
266,104.0,1.0,1.0,1.0,1.0,0.0,
267,105.0,1.0,1.0,1.0,1.0,0.0,
268,106.0,1.0,1.0,1.0,1.0,0.0,
269,107.0,1.0,1.0,1.0,1.0,0.0,
270,108.0,1.0,1.0,1.0,1.0,0.0,
271,109.0,1.0,1.0,1.0,1.0,0.0,
272,110.0,1.0,1.0,1.0,1.0,0.0,
273,111.0,1.0,1.0,1.0,1.0,0.0,
274,112.0,1.0,1.0,1.0,1.0,0.0,
275,113.0,1.0,1.0,1.0,1.0,0.0,
276,114.0,1.0,1.0,1.0,1.0,0.0,
277,115.0,1.0,1.0,1.0,1.0,0.0,
278,116.0,1.0,1.0,1.0,1.0,0.0,
279,117.0,1.0,1.0,1.0,1.0,0.0,
280,118.0,1.0,1.0,1.0,1.0,0.0,
281,119.0,1.0,1.0,1.0,1.0,0.0,
282,120.0,1.0,1.0,1.0,1.0,0.0,
283,121.0,1.0,1.0,1.0,1.0,0.0,
284,122.0,1.0,1.0,1.0,1.0,0.0,
285,123.0,1.0,1.0,1.0,1.0,0.0,
286,124.0,1.0,1.0,1.0,1.0,0.0,
287,125.0,1.0,1.0,1.0,1.0,0.0,
288,126.0,1.0,1.0,1.0,1.0,0.0,
289,127.0,1.0,1.0,1.0,1.0,0.0,
290,128.0,1.0,1.0,1.0,1.0,0.0,
291,129.0,1.0,1.0,1.0,1.0,0.0,
292,130.0,1.0,1.0,1.0,1.0,0.0,
293,131.0,1.0,1.0,1.0,1.0,0.0,
294,132.0,1.0,1.0,1.0,1.0,0.0,
295,133.0,1.0,1.0,1.0,1.0,0.0,
296,134.0,1.0,1.0,1.0,1.0,0.0,
297,135.0,1.0,1.0,1.0,1.0,0.0,
298,136.0,1.0,1.0,1.0,1.0,0.0,
299,137.0,1.0,1.0,1.0,1.0,0.0,
300,138.0,1.0,1.0,1.0,1.0,0.0,
301,139.0,1.0,1.0,1.0,1.0,0.0,
302,140.0,1.0,1.0,1.0,1.0,0.0,
303,141.0,1.0,1.0,1.0,1.0,0.0,
304,142.0,1.0,1.0,1.0,1.0,0.0,
305,143.0,1.0,1.0,1.0,1.0,0.0,
306,144.0,1.0,1.0,1.0,1.0,0.0,
307,145.0,1.0,1.0,1.0,1.0,0.0,
308,146.0,1.0,1.0,1.0,1.0,0.0,
309,147.0,1.0,1.0,1.0,1.0,0.0,
310,148.0,1.0,1.0,1.0,1.0,0.0,
311,149.0,1.0,1.0,1.0,1.0,0.0,
312,150.0,1.0,1.0,1.0,1.0,0.0,
313,151.0,1.0,1.0,1.0,1.0,0.0,
314,152.0,1.0,1.0,1.0,1.0,0.0,
315,153.0,1.0,1.0,1.0,1.0,0.0,
316,154.0,1.0,1.0,1.0,1.0,0.0,
317,155.0,1.0,1.0,1.0,1.0,0.0,
318,156.0,1.0,1.0,1.0,1.0,0.0,
319,157.0,1.0,1.0,1.0,1.0,0.0,
320,158.0,1.0,1.0,1.0,1.0,0.0,
321,159.0,1.0,1.0,1.0,1.0,0.0,
322,160.0,1.0,1.0,1.0,1.0,0.0,
323,161.0,1.0,1.0,1.0,1.0,0.0,
324,162.0,1.0,1.0,1.0,1.0,0.0,
325,163.0,1.0,1.0,1.0,1.0,0.0,
326,164.0,1.0,1.0,1.0,1.0,0.0,
327,165.0,1.0,1.0,1.0,1.0,0.0,
328,2.0,1.0,1.0,1.0,1.0,1.0,0.32952077488430065
329,3.0,1.0,1.0,1.0,1.0,1.0,0.32952096240743295
330,4.0,1.0,1.0,1.0,1.0,1.0,0.3295437954033787
331,5.0,1.0,1.0,1.0,1.0,1.0,0.3441872599332151
