dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,facet_k
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,0.664469719,0.033223486,20,3
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,0.843754292,0.042187715,20,4
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,0.913019657,0.045650983,20,5
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,0.96850872,0.048425436,20,6
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.114791393,0.05573957,20,7
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.132427454,0.056621373,20,8
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.354891777,0.067744589,20,9
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.375795126,0.068789756,20,10
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.36581254,0.068290627,20,11
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.409410238,0.070470512,20,12
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.448359966,0.072417998,20,13
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.467932224,0.073396611,20,14
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.471813202,0.07359066,20,15
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.500188112,0.075009406,20,16
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.50596571,0.075298285,20,17
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.673358202,0.08366791,20,18
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.687558413,0.084377921,20,19
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.713057518,0.085652876,20,20
