dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
adult,FACETIndex,300,9,,0.849419569,0.722017867,0.622564567,0.668613139,1,0.159876512,0.252658262,3.1,237.8702519,14.32983947,0.716491973,20
adult,FACETIndex,400,0,,0.846655611,0.710607621,0.62585034,0.665541355,1,0.201834919,0.324719472,3.2,310.3994794,11.38750887,0.569375443,20
adult,FACETIndex,400,1,,0.845550028,0.722394221,0.619743249,0.667143198,1,0.220685833,0.399665718,3.25,320.0638137,9.839276791,0.49196384,20
adult,FACETIndex,400,2,,0.84145937,0.709290188,0.607781753,0.654624277,1,0.17265619,0.254910595,3.1,312.3614104,7.421653032,0.371082652,20
adult,FACETIndex,400,3,,0.849861802,0.724017902,0.644532979,0.681967213,1,0.145327431,0.230030647,2.85,314.977813,10.08408999,0.5042045,20
adult,FACETIndex,400,4,,0.839579878,0.698795181,0.620597414,0.657378985,1,0.202722468,0.291824492,3.1,314.8588779,15.06377506,0.753188753,20
adult,FACETIndex,400,5,,0.844223328,0.694763092,0.636073059,0.664123957,1,0.144000611,0.223761612,3.05,340.4455841,9.30923605,0.465461802,20
adult,FACETIndex,400,6,,0.845881703,0.71754107,0.611286682,0.660165773,1,0.208264915,0.316634696,2.8,314.7700877,12.15765953,0.607882977,20
adult,FACETIndex,400,7,,0.84344942,0.721084954,0.617982456,0.665564478,1,0.224306517,0.372551483,3.2,315.7073238,11.97899866,0.598949933,20
adult,FACETIndex,400,8,,0.846876727,0.728497409,0.620202911,0.670002383,1,0.183570108,0.260912648,3,314.7020216,10.06815386,0.503407693,20
adult,FACETIndex,400,9,,0.849751244,0.722923239,0.623017671,0.669262594,1,0.240735795,0.342880659,3.2,313.7500126,18.31134915,0.915567458,20
adult,FACETIndex,500,0,,0.845881703,0.708912931,0.624036281,0.663772311,1,0.191760884,0.299116746,3,387.4297383,13.73771977,0.686885989,20
adult,FACETIndex,500,1,,0.845771144,0.723140496,0.619743249,0.667461263,1,0.259452819,0.454411817,3.25,388.3677907,10.94059372,0.547029686,20
adult,FACETIndex,500,2,,0.841238253,0.709205021,0.606440072,0.653809065,1,0.183184199,0.265210839,2.85,388.5411949,8.563965082,0.428198254,20
adult,FACETIndex,500,3,,0.850967385,0.726504227,0.646746348,0.684309133,1,0.209353356,0.346928628,3.25,391.6220512,10.70584321,0.535292161,20
adult,FACETIndex,500,4,,0.839027087,0.698236776,0.617922425,0.655629139,1,0.176836866,0.2722665,3.15,390.5578697,12.20417309,0.610208654,20
adult,FACETIndex,500,5,,0.84344942,0.692537313,0.635616438,0.662857143,1,0.139269248,0.213969169,3.1,391.3564277,7.243650198,0.36218251,20
adult,FACETIndex,500,6,,0.845550028,0.714585519,0.61489842,0.661004611,1,0.169230195,0.249363206,2.8,393.3645687,11.77774119,0.58888706,20
adult,FACETIndex,500,7,,0.843228303,0.720122574,0.618421053,0.665408211,1,0.187892137,0.305171434,3.4,393.317168,8.946279287,0.447313964,20
adult,FACETIndex,500,8,,0.847761194,0.729855372,0.623290693,0.672376874,1,0.137630666,0.217250732,2.9,392.6547418,7.738119364,0.386905968,20
adult,FACETIndex,500,9,,0.849087894,0.721812434,0.620752152,0.667478685,1,0.241748077,0.344654556,3.25,413.6567342,18.55611801,0.927805901,20
cancer,FACETIndex,10,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.156365211,,4.55,4.476918936,0.242416859,0.012120843,20
cancer,FACETIndex,10,0,5,0.938596491,0.95,0.88372093,0.915662651,1,0.144570508,,3.85,5.026995182,0.283665657,0.014183283,20
cancer,FACETIndex,10,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.118566937,,4.3,5.381481647,0.340813875,0.017040694,20
cancer,FACETIndex,10,1,5,0.947368421,0.966666667,0.852941176,0.90625,1,0.129636592,,3.8,4.729738235,0.44858551,0.022429276,20
cancer,FACETIndex,10,7,5,0.947368421,0.916666667,0.916666667,0.916666667,1,0.115613621,,3.95,4.878584385,0.192366123,0.009618306,20
cancer,FACETIndex,10,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.180650195,,4.6,4.996819496,0.491461515,0.024573076,20
cancer,FACETIndex,10,8,5,0.964912281,0.956521739,0.956521739,0.956521739,1,0.174360086,,5.45,5.243231058,0.574296474,0.028714824,20
cancer,FACETIndex,10,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.220350004,,5.5,3.881633759,0.537031174,0.026851559,20
