accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,dataset,explainer,min_robust,iteration
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.199503422,0.409975171,20,adult,FACETIndex,0.055,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.197976351,0.409898818,20,adult,FACETIndex,0.06,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.251107693,0.412555385,20,adult,FACETIndex,0.065,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.193284273,0.409664214,20,adult,FACETIndex,0.07,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.157039642,0.407851982,20,adult,FACETIndex,0.075,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.164295912,0.408214796,20,adult,FACETIndex,0.08,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.105690241,0.405284512,20,adult,FACETIndex,0.085,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,7.963950634,0.398197532,20,adult,FACETIndex,0.09,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.020581961,0.401029098,20,adult,FACETIndex,0.095,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.061107159,0.403055358,20,adult,FACETIndex,0.1,2
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.355524778,0.467776239,20,adult,FACETIndex,0.001,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.213451624,0.460672581,20,adult,FACETIndex,0.005,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.098209143,0.454910457,20,adult,FACETIndex,0.01,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.195569754,0.459778488,20,adult,FACETIndex,0.015,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.314367056,0.465718353,20,adult,FACETIndex,0.02,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.347180843,0.467359042,20,adult,FACETIndex,0.025,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.503461599,0.47517308,20,adult,FACETIndex,0.03,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.397148848,0.469857442,20,adult,FACETIndex,0.035,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.329366922,0.466468346,20,adult,FACETIndex,0.04,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.328933716,0.466446686,20,adult,FACETIndex,0.045,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.369384527,0.468469226,20,adult,FACETIndex,0.05,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.348472595,0.46742363,20,adult,FACETIndex,0.055,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.33265233,0.466632617,20,adult,FACETIndex,0.06,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.434310913,0.471715546,20,adult,FACETIndex,0.065,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.405743599,0.47028718,20,adult,FACETIndex,0.07,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.216782808,0.46083914,20,adult,FACETIndex,0.075,3
