iteration,explainer,dataset,instance,perturbation_size,nperturbations,per_valid
0,AFT,cancer,512,0.0365,100,0.53
0,AFT,cancer,512,0.037,100,0.53
0,AFT,cancer,512,0.0375,100,0.52
0,AFT,cancer,512,0.038,100,0.52
0,AFT,cancer,512,0.0385,100,0.52
0,AFT,cancer,512,0.039,100,0.49
0,AFT,cancer,512,0.0395,100,0.49
0,AFT,cancer,512,0.04,100,0.48
0,AFT,cancer,512,0.0405,100,0.48
0,AFT,cancer,512,0.041,100,0.47
0,AFT,cancer,512,0.0415,100,0.47
0,AFT,cancer,512,0.042,100,0.47
0,AFT,cancer,512,0.0425,100,0.47
0,AFT,cancer,512,0.043,100,0.46
0,AFT,cancer,512,0.0435,100,0.45
0,AFT,cancer,512,0.044,100,0.46
0,AFT,cancer,512,0.0445,100,0.46
0,AFT,cancer,512,0.045,100,0.43
0,AFT,cancer,512,0.0455,100,0.43
0,AFT,cancer,512,0.046,100,0.43
0,AFT,cancer,512,0.0465,100,0.43
0,AFT,cancer,512,0.047,100,0.42
0,AFT,cancer,512,0.0475,100,0.42
0,AFT,cancer,512,0.048,100,0.41
0,AFT,cancer,512,0.0485,100,0.41
0,AFT,cancer,512,0.049,100,0.41
0,AFT,cancer,512,0.0495,100,0.41
0,AFT,cancer,512,0.05,100,0.41
0,AFT,cancer,512,0.055,100,0.42
0,AFT,cancer,512,0.06,100,0.45
0,AFT,cancer,512,0.065,100,0.52
0,AFT,cancer,512,0.07,100,0.59
0,AFT,cancer,512,0.075,100,0.68
0,AFT,cancer,512,0.08,100,0.7
0,AFT,cancer,512,0.085,100,0.76
0,AFT,cancer,512,0.09,100,0.77
0,AFT,cancer,512,0.095,100,0.78
0,AFT,cancer,512,0.1,100,0.82
0,AFT,cancer,512,0.105,100,0.84
0,AFT,cancer,512,0.11,100,0.83
0,AFT,cancer,512,0.115,100,0.81
0,AFT,cancer,512,0.12,100,0.83
0,AFT,cancer,512,0.125,100,0.84
0,AFT,cancer,512,0.13,100,0.83
0,AFT,cancer,512,0.135,100,0.79
0,AFT,cancer,512,0.14,100,0.77
0,AFT,cancer,512,0.145,100,0.77
0,AFT,cancer,512,0.15,100,0.78
0,AFT,cancer,512,0.155,100,0.75
0,AFT,cancer,512,0.16,100,0.74
0,AFT,cancer,512,0.165,100,0.74
0,AFT,cancer,512,0.17,100,0.71
0,AFT,cancer,512,0.175,100,0.74
0,AFT,cancer,512,0.18,100,0.74
0,AFT,cancer,512,0.185,100,0.72
0,AFT,cancer,512,0.19,100,0.73
0,AFT,cancer,512,0.195,100,0.73
0,AFT,cancer,512,0.2,100,0.74
0,AFT,cancer,512,0.205,100,0.75
0,AFT,cancer,512,0.21,100,0.77
0,AFT,cancer,512,0.215,100,0.78
0,AFT,cancer,512,0.22,100,0.77
0,AFT,cancer,512,0.225,100,0.76
0,AFT,cancer,512,0.23,100,0.78
0,AFT,cancer,512,0.235,100,0.82
0,AFT,cancer,512,0.24,100,0.82
0,AFT,cancer,512,0.245,100,0.82
0,AFT,cancer,512,0.25,100,0.83
0,AFT,cancer,512,0.255,100,0.85
0,AFT,cancer,512,0.26,100,0.87
0,AFT,cancer,512,0.265,100,0.87
0,AFT,cancer,512,0.27,100,0.88
0,AFT,cancer,512,0.275,100,0.87
0,AFT,cancer,512,0.28,100,0.87
0,AFT,cancer,512,0.285,100,0.86
0,AFT,cancer,512,0.29,100,0.87
0,AFT,cancer,512,0.295,100,0.87
0,AFT,cancer,512,0.3,100,0.88
0,AFT,cancer,512,0.305,100,0.88
0,AFT,cancer,512,0.31,100,0.88
0,AFT,cancer,512,0.315,100,0.89
0,AFT,cancer,512,0.32,100,0.89
0,AFT,cancer,512,0.325,100,0.9
0,AFT,cancer,512,0.33,100,0.9
0,AFT,cancer,512,0.335,100,0.91
0,AFT,cancer,512,0.34,100,0.93
0,AFT,cancer,512,0.345,100,0.94
0,AFT,cancer,512,0.35,100,0.94
0,AFT,cancer,512,0.355,100,0.94
0,AFT,cancer,512,0.36,100,0.94
0,AFT,cancer,512,0.365,100,0.93
0,AFT,cancer,512,0.37,100,0.93
0,AFT,cancer,512,0.375,100,0.94
0,AFT,cancer,512,0.38,100,0.95
0,AFT,cancer,512,0.385,100,0.95
0,AFT,cancer,512,0.39,100,0.95
0,AFT,cancer,512,0.395,100,0.95
0,AFT,cancer,512,0.4,100,0.95
0,AFT,cancer,512,0.405,100,0.96
0,AFT,cancer,512,0.41,100,0.96
0,AFT,cancer,512,0.415,100,0.96
0,AFT,cancer,512,0.42,100,0.96
0,AFT,cancer,512,0.425,100,0.96
0,AFT,cancer,512,0.43,100,0.96
0,AFT,cancer,512,0.435,100,0.96
0,AFT,cancer,512,0.44,100,0.96
