dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
glass,FACETIndex,10,5,6,0.7878787878787878,0.8125,0.7647058823529411,0.787878787878788,1.0,0.08517469276109856,0.10449770881345535,2.25,2.8515100479125977,0.09875106811523438,0.004937553405761718,20
cancer,FACETIndex,10,5,4,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,1.0,0.1715400911960679,0.293681511266025,3.75,2.6653292179107666,1.9489781856536865,0.09744890928268432,20
vertebral,FACETIndex,10,5,0,0.7741935483870968,0.7916666666666666,0.9047619047619048,0.8444444444444444,1.0,0.05834943293690241,0.07284953385058898,1.85,4.069973945617676,0.04552865028381348,0.0022764325141906737,20
spambase,FACETIndex,10,5,1,0.9217391304347826,0.9331306990881459,0.8599439775910365,0.8950437317784258,1.0,0.009702244750457712,0.01832974360852045,5.1,2.8282480239868164,4.5891923904418945,0.22945961952209473,20
magic,FACETIndex,10,5,3,0.8151945320715037,0.791006146878033,0.9772182254196643,0.8743071696763811,1.0,0.11884414431032315,0.18172204554290824,2.9,4.374506711959839,0.08098745346069336,0.004049372673034668,20
glass,FACETIndex,10,5,7,0.8181818181818182,0.7058823529411765,0.9230769230769231,0.8000000000000002,1.0,0.09407369104195049,0.14880065235333967,2.85,2.8472824096679688,0.09267282485961914,0.004633641242980957,20
cancer,FACETIndex,10,5,5,0.956140350877193,0.9318181818181818,0.9534883720930233,0.942528735632184,1.0,0.15636521067482353,0.2841614237139966,4.55,2.6852920055389404,1.7590141296386719,0.0879507064819336,20
glass,FACETIndex,10,5,8,0.8484848484848485,0.9047619047619048,0.8636363636363636,0.8837209302325582,1.0,0.06394788623051201,0.09700408743177308,2.6,2.7596237659454346,0.10431241989135742,0.0052156209945678714,20
magic,FACETIndex,10,5,4,0.8270241850683491,0.8152596255740021,0.9447400736799018,0.8752370117557832,1.0,0.09852761375877765,0.16333719624124987,3.5,4.270177602767944,0.04664015769958496,0.002332007884979248,20
vertebral,FACETIndex,10,5,1,0.8064516129032258,0.8222222222222222,0.9024390243902439,0.8604651162790697,1.0,0.08198391737713784,0.11415300478290631,2.05,5.322685956954956,0.07010293006896973,0.0035051465034484862,20
glass,FACETIndex,10,5,9,0.8484848484848485,0.8823529411764706,0.8333333333333334,0.8571428571428571,1.0,0.10761790878723146,0.15976339781173907,3.0,2.771859884262085,0.13994264602661133,0.006997132301330566,20
spambase,FACETIndex,10,5,2,0.9130434782608695,0.9402985074626866,0.84,0.8873239436619718,1.0,0.009445084335685944,0.018927714431939923,5.1,2.806490898132324,4.474191188812256,0.2237095594406128,20
cancer,FACETIndex,10,5,6,0.9649122807017544,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,0.11856693684894704,0.21420403468597496,4.3,2.676105260848999,2.4916269779205322,0.12458134889602661,20
magic,FACETIndex,10,5,5,0.805205047318612,0.7804878048780488,0.9652892561983472,0.8631073341954555,1.0,0.08207734035512398,0.13359658595267238,2.55,3.9883334636688232,0.062399864196777344,0.0031199932098388674,20
vertebral,FACETIndex,10,5,2,0.9032258064516129,0.9130434782608695,0.9545454545454546,0.9333333333333332,1.0,0.0812243834765825,0.10240190495313217,1.85,4.050688743591309,0.036337852478027344,0.0018168926239013673,20
vertebral,FACETIndex,10,5,3,0.7258064516129032,0.8421052631578947,0.7441860465116279,0.7901234567901234,1.0,0.05480760020687301,0.07203012181624423,1.85,3.7152469158172607,0.04588890075683594,0.002294445037841797,20
cancer,FACETIndex,10,5,7,0.9473684210526315,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.11561362107023236,0.18565161032985222,3.95,2.6817405223846436,2.274538516998291,0.11372692584991455,20
magic,FACETIndex,10,5,6,0.8393796004206099,0.8245067497403946,0.9581657280772325,0.8863255813953489,1.0,0.08278961457599751,0.11541178838380876,3.1,4.372783422470093,0.04694247245788574,0.002347123622894287,20
spambase,FACETIndex,10,5,3,0.9206521739130434,0.9415584415584416,0.8405797101449275,0.8882082695252679,1.0,0.006210209601596654,0.010159387659482405,3.5,3.8217525482177734,3.3984382152557373,0.16992191076278687,20
vertebral,FACETIndex,10,5,4,0.7741935483870968,0.7659574468085106,0.9230769230769231,0.8372093023255814,1.0,0.053182414440850825,0.06811911302668068,1.9,4.636155366897583,0.04883003234863281,0.0024415016174316405,20
magic,FACETIndex,10,5,7,0.8343848580441641,0.8169445389588296,0.9630966706778982,0.884020618556701,1.0,0.07023595651786968,0.11159247226050098,2.75,3.9875667095184326,0.032544612884521484,0.0016272306442260743,20
cancer,FACETIndex,10,5,8,0.9649122807017544,0.9565217391304348,0.9565217391304348,0.9565217391304348,1.0,0.17436008641565076,0.35449880093183556,5.45,2.6593074798583984,2.343921661376953,0.11719608306884766,20
cancer,FACETIndex,10,5,9,0.956140350877193,1.0,0.8837209302325582,0.9382716049382717,1.0,0.12656874292584214,0.2113188737967751,3.5,2.6794087886810303,1.6947360038757324,0.08473680019378663,20
