dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,100,3,8,0.973684211,0.957446809,0.97826087,0.967741935,1,0.38,1.14,12.6,30.25902605,2.49782896,0.125,20
cancer,FACETIndex,100,3,9,0.956140351,0.975,0.906976744,0.939759036,1,0.36,1.03,11.6,32.44168949,1.840846539,0.092,20
adult,FACETGBCC,100,3,0,0.8627971254836927,0.7825322391559203,0.6054421768707483,0.6826898491434417,1.0,0.18604236119229645,0.26963186567012865,2.75,16.465135097503662,6.759778261184692,0.3379889130592346,20
compas,FACETGBCC,100,3,0,0.6354166666666666,0.5860655737704918,0.6098081023454158,0.5977011494252874,1.0,0.21750000000000003,0.21750000000000003,1.0,8.933328866958618,0.05363106727600098,0.002681553363800049,20
cancer,FACETGBCC,100,3,0,0.956140350877193,1.0,0.8837209302325582,0.9382716049382717,1.0,0.15663961564765366,0.3389742867476845,7.45,15.149775505065918,0.5022799968719482,0.025113999843597412,20
compas,FACETGBCC,100,3,1,0.6477272727272727,0.5991983967935872,0.6348195329087049,0.6164948453608247,1.0,0.21125,0.21125,1.0,9.126157522201538,0.05313682556152344,0.002656841278076172,20
credit,FACETGBCC,100,3,0,0.8087763713080168,0.8290936498963632,0.9511456982274102,0.8859357696566998,1.0,0.10443330959741778,0.1597429655777694,4.3,15.540008068084717,2.6063637733459473,0.13031818866729736,20
adult,FACETGBCC,100,3,1,0.8641238253178551,0.8004667444574096,0.6073483842408145,0.69066196828593,1.0,0.22762033832679784,0.320095587055085,2.95,16.341275930404663,9.12537407875061,0.4562687039375305,20
compas,FACETGBCC,100,3,2,0.6903409090909091,0.6952595936794582,0.616,0.6532343584305409,1.0,0.09374999999999997,0.09374999999999997,1.0,9.020676136016846,0.03825736045837402,0.001912868022918701,20
cancer,FACETGBCC,100,3,1,0.9385964912280702,0.9090909090909091,0.8823529411764706,0.8955223880597014,1.0,0.19269569615281748,0.4374742337331793,7.45,14.260467052459717,1.1250314712524414,0.05625157356262207,20
compas,FACETGBCC,100,3,3,0.6884469696969697,0.6968973747016707,0.5910931174089069,0.6396495071193867,1.0,0.11875000000000002,0.11875000000000002,1.0,9.124727964401245,0.04929518699645996,0.0024647593498229982,20
glass,FACETGBCC,100,3,0,0.8484848484848485,0.8888888888888888,0.8421052631578947,0.8648648648648649,1.0,0.13353534756322802,0.25864018432643193,3.95,10.462841272354126,0.0784459114074707,0.003922295570373535,20
credit,FACETGBCC,100,3,1,0.8183966244725739,0.8382103077213517,0.952994204764971,0.8919244676576938,1.0,0.11474540045118212,0.18510081872852022,4.05,15.49824571609497,3.0109927654266357,0.15054963827133178,20
compas,FACETGBCC,100,3,4,0.6666666666666666,0.6644144144144144,0.5923694779116466,0.6263269639065817,1.0,0.09625,0.09625,1.0,8.984223365783691,0.03869366645812988,0.001934683322906494,20
vertebral,FACETGBCC,100,3,0,0.7741935483870968,0.8181818181818182,0.8571428571428571,0.8372093023255814,1.0,0.052876681268934765,0.06237594054790596,2.3,12.309542655944824,0.02546238899230957,0.0012731194496154786,20
cancer,FACETGBCC,100,3,2,0.9649122807017544,0.9772727272727273,0.9347826086956522,0.9555555555555557,1.0,0.2388734224219208,0.5928858592995122,8.2,15.672120571136475,1.5786004066467285,0.07893002033233643,20
spambase,FACETGBCC,100,3,0,0.9576086956521739,0.9501312335958005,0.9476439790575916,0.9488859764089123,1.0,0.026596279538134003,0.05053476051355195,7.3,17.567357778549194,1.177863597869873,0.05889317989349365,20
glass,FACETGBCC,100,3,1,0.8484848484848485,0.8,0.9411764705882353,0.8648648648648648,1.0,0.17979720794622112,0.3596122106504457,5.0,10.643848180770874,0.1876993179321289,0.009384965896606446,20
magic,FACETGBCC,100,3,0,0.8703995793901157,0.8630085852930198,0.948318293683347,0.9036544850498338,1.0,0.16341295615930593,0.3485077332835391,5.35,17.508402585983276,0.264498233795166,0.013224911689758301,20
adult,FACETGBCC,100,3,2,0.862465450525152,0.7883720930232558,0.6064400715563506,0.6855409504550051,1.0,0.15948376061060446,0.20958927275279954,2.3,16.190592050552368,9.179517030715942,0.4589758515357971,20
compas,FACETGBCC,100,3,5,0.6714015151515151,0.6801801801801802,0.5956607495069034,0.6351209253417456,1.0,0.13874999999999998,0.13874999999999998,1.0,9.086515188217163,0.045021772384643555,0.0022510886192321777,20
vertebral,FACETGBCC,100,3,1,0.8387096774193549,0.8604651162790697,0.9024390243902439,0.8809523809523809,1.0,0.0705811193635151,0.08701304388988292,2.45,13.226129293441772,0.0468752384185791,0.0023437619209289553,20
credit,FACETGBCC,100,3,2,0.8018565400843882,0.8268645357686454,0.9427331887201735,0.8810054733427936,1.0,0.09694335332149707,0.16445122308466878,4.15,15.471572637557983,2.298492193222046,0.1149246096611023,20
glass,FACETGBCC,100,3,2,0.9090909090909091,0.9473684210526315,0.9,0.9230769230769231,1.0,0.06985432030201257,0.1257132343987477,4.55,10.805972814559937,0.1043999195098877,0.005219995975494385,20
cancer,FACETGBCC,100,3,3,0.8859649122807017,0.8292682926829268,0.85,0.8395061728395061,1.0,0.2629183902126442,0.569724386258015,7.4,13.586519956588745,1.762502670288086,0.08812513351440429,20
compas,FACETGBCC,100,3,6,0.6609848484848485,0.6887254901960784,0.548828125,0.6108695652173913,1.0,0.08374999999999999,0.08374999999999999,1.0,9.076233863830566,0.03843259811401367,0.0019216299057006835,20
spambase,FACETGBCC,100,3,1,0.9445652173913044,0.9447674418604651,0.9103641456582633,0.927246790299572,1.0,0.03147424636190092,0.06879248025191517,8.05,17.259783267974854,0.9371845722198486,0.04685922861099243,20
glass,FACETGBCC,100,3,3,0.9696969696969697,1.0,0.9545454545454546,0.9767441860465117,1.0,0.06817158173986002,0.10848555005142357,3.7,10.15451431274414,0.06886029243469238,0.003443014621734619,20
compas,FACETGBCC,100,3,7,0.6950757575757576,0.6831896551724138,0.6443089430894309,0.6631799163179917,1.0,0.1475,0.1475,1.0,9.000853061676025,0.04148721694946289,0.0020743608474731445,20
vertebral,FACETGBCC,100,3,2,0.8548387096774194,0.9069767441860465,0.8863636363636364,0.896551724137931,1.0,0.10561083868688306,0.1403080380065484,2.65,12.770216464996338,0.039403438568115234,0.0019701719284057617,20
magic,FACETGBCC,100,3,1,0.8725026288117771,0.8686425173801683,0.9496,0.9073189375119435,1.0,0.0871714282329317,0.16170521852930111,4.8,17.089527130126953,0.08271956443786621,0.00413597822189331,20
adult,FACETGBCC,100,3,3,0.8635710337202874,0.7880831928049467,0.6206285967242142,0.6944031698860822,1.0,0.10703449784999959,0.15858783471301008,2.5,16.30886173248291,6.071828842163086,0.3035914421081543,20
cancer,FACETGBCC,100,3,4,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,1.0,0.24189156451404684,0.613997509541161,9.45,14.32049036026001,1.752201795578003,0.08761008977890014,20
credit,FACETGBCC,100,3,3,0.810970464135021,0.8273597297804466,0.9566066391842049,0.8873012678607366,1.0,0.11809981820226145,0.18569247012419915,4.4,15.272258996963501,2.4125618934631348,0.12062809467315674,20
compas,FACETGBCC,100,3,8,0.6827651515151515,0.6984126984126984,0.6039215686274509,0.647739221871714,1.0,0.10750000000000001,0.10750000000000001,1.0,9.100980281829834,0.0523834228515625,0.002619171142578125,20
glass,FACETGBCC,100,3,4,0.8484848484848485,1.0,0.8,0.888888888888889,1.0,0.09042908593493708,0.15122179300423683,4.05,10.654943466186523,0.09812545776367188,0.004906272888183594,20
vertebral,FACETGBCC,100,3,3,0.7580645161290323,0.868421052631579,0.7674418604651163,0.8148148148148148,1.0,0.0634958261887971,0.07963632386626503,2.6,12.614070653915405,0.0357975959777832,0.0017898797988891602,20
spambase,FACETGBCC,100,3,2,0.9478260869565217,0.9504132231404959,0.92,0.934959349593496,1.0,0.029158119153180246,0.0648150578357459,8.1,17.864574193954468,0.9533467292785645,0.04766733646392822,20
compas,FACETGBCC,100,3,9,0.6818181818181818,0.6823027718550106,0.631163708086785,0.6557377049180328,1.0,0.07499999999999998,0.07499999999999998,1.0,9.04089093208313,0.03197145462036133,0.0015985727310180663,20
glass,FACETGBCC,100,3,5,0.8484848484848485,0.8421052631578947,0.8888888888888888,0.8648648648648649,1.0,0.14414244901193365,0.29272863982578656,4.25,10.707422256469727,0.15649819374084473,0.007824909687042237,20
magic,FACETGBCC,100,3,2,0.8714511041009464,0.8641929499072356,0.9498368678629691,0.9049931999222849,1.0,0.08754854681015031,0.16861023318938403,4.45,15.86983871459961,0.14603638648986816,0.007301819324493408,20
cancer,FACETGBCC,100,3,5,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233,1.0,0.21551835672692646,0.5315806521830206,8.55,15.379722356796265,1.0212931632995605,0.05106465816497803,20
vertebral,FACETGBCC,100,3,4,0.8225806451612904,0.8181818181818182,0.9230769230769231,0.8674698795180724,1.0,0.05269128040134341,0.06849442991369042,2.95,12.886615753173828,0.021992921829223633,0.0010996460914611816,20
credit,FACETGBCC,100,3,4,0.8133333333333334,0.8339587242026266,0.9526360908701244,0.8893557422969187,1.0,0.10247271184598619,0.15049845707029616,3.75,15.297196626663208,2.252548933029175,0.11262744665145874,20
glass,FACETGBCC,100,3,6,0.8484848484848485,0.9285714285714286,0.7647058823529411,0.8387096774193549,1.0,0.11831510172005974,0.1989637503728706,4.15,10.450550317764282,0.10438299179077148,0.005219149589538574,20
adult,FACETGBCC,100,3,4,0.8620232172470979,0.7921315325895478,0.601426660722247,0.6837303598580842,1.0,0.15297734351748954,0.19832887565429555,2.25,16.809361934661865,5.831270933151245,0.29156354665756223,20
spambase,FACETGBCC,100,3,3,0.9456521739130435,0.9376854599406528,0.9159420289855073,0.9266862170087977,1.0,0.0337399341123203,0.07297150902347291,9.0,17.309378147125244,0.7566211223602295,0.03783105611801148,20
vertebral,FACETGBCC,100,3,5,0.7903225806451613,0.8095238095238095,0.8717948717948718,0.8395061728395062,1.0,0.03934521101226108,0.05399055584509386,2.4,12.862513780593872,0.02070164680480957,0.0010350823402404785,20
glass,FACETGBCC,100,3,7,0.8484848484848485,0.75,0.9230769230769231,0.8275862068965517,1.0,0.1689573234898179,0.3214172966814124,4.65,11.012633323669434,0.09557795524597168,0.004778897762298584,20
cancer,FACETGBCC,100,3,6,0.9649122807017544,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,0.1813416717027391,0.40842156965935583,8.35,17.77474546432495,1.4544854164123535,0.07272427082061768,20
magic,FACETGBCC,100,3,3,0.8596214511041009,0.8529411764705882,0.950439648281375,0.899054820415879,1.0,0.10373627556656914,0.20641319428458255,5.2,17.052218198776245,0.11211299896240234,0.005605649948120117,20
credit,FACETGBCC,100,3,5,0.8030379746835443,0.8271954674220963,0.9455958549222798,0.8824418253248716,1.0,0.09490316005063845,0.1415944937827961,4.05,15.308279514312744,2.2300233840942383,0.11150116920471191,20
vertebral,FACETGBCC,100,3,6,0.8064516129032258,0.7619047619047619,0.9411764705882353,0.8421052631578947,1.0,0.05977484512433351,0.07303151023219749,2.15,11.80634069442749,0.026670455932617188,0.0013335227966308593,20
glass,FACETGBCC,100,3,8,0.8484848484848485,1.0,0.7727272727272727,0.8717948717948718,1.0,0.08508648399888015,0.14729447861688003,3.7,10.313771486282349,0.07607507705688477,0.0038037538528442384,20
