dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,100,2,5,0.98245614,1,0.956521739,0.977777778,1,0.401202551,14.25,24.90181446,3.962589741,0.198129487,20
glass,FACETIndex,500,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.265101164,6.8,83.48346066,0.945340157,0.047267008,20
glass,FACETIndex,10,2,5,0.909090909,0.869565217,1,0.930232558,1,0.04418985,3.05,2.545272589,0.020493507,0.001024675,20
magic,FACETIndex,400,0,5,0.838328076,0.819264448,0.959392945,0.883808804,1,0.244395869,7.9,80.83953953,0.62365365,0.031182683,20
glass,FACETIndex,50,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.088257043,4.8,9.666102409,0.196683407,0.00983417,20
magic,FACETIndex,400,5,5,0.835699264,0.808313294,0.97231405,0.882761208,1,0.135424831,7.15,81.44849849,0.292891264,0.014644563,20
spambase,FACETIndex,300,0,5,0.941304348,0.963276836,0.892670157,0.926630435,1,0.13293555,21.7,67.26223564,1.03582859,0.05179143,20
glass,FACETIndex,500,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.265101164,6.8,82.90061021,0.940536976,0.047026849,20
spambase,FACETIndex,300,5,5,0.923913043,0.965079365,0.837465565,0.896755162,1,0.15950981,21.55,66.94761062,1.020275831,0.051013792,20
glass,FACETIndex,200,6,5,0.878787879,0.933333333,0.823529412,0.875,1,0.161235689,5.9,34.98261952,0.683900356,0.034195018,20
glass,FACETIndex,10,2,5,0.909090909,0.869565217,1,0.930232558,1,0.04418985,3.05,2.53191781,0.02025342,0.001012671,20
glass,FACETIndex,50,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.088257043,4.8,9.611642122,0.196804762,0.009840238,20
glass,FACETIndex,100,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.098839989,5.6,18.37553596,0.348289251,0.017414463,20
cancer,FACETIndex,200,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.377924721,14.6,40.49861646,3.054675341,0.152733767,20
